version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,team,baseline,v0+p27467914bc4d+td4848549884e,27467914bc4d,d4848549884e,baseline,Đo hành vi chưa tối ưu trước khi sửa,case_accuracy,,0.7000,runs/v0_B_base_openrouter_20260915T201021671687.json
v1,team,artifacts/system_prompt.md,v1+p2947ccc49142+td4848549884e,2947ccc49142,d4848549884e,Chỉnh sửa system prompt bổ sung quy tắc định tuyến công cụ,Bổ sung quy tắc định tuyến công cụ chi tiết và bỏ yêu cầu output JSON giúp tăng tỷ lệ gọi đúng tool,case_accuracy,0.7000,0.7667,runs/v1_B_base_openrouter_20260915T201121621975.json
v2,team,artifacts/tools.yaml,v2+p2947ccc49142+t2a05fb895c80,2947ccc49142,2a05fb895c80,Tối ưu hóa mô tả và enum của các công cụ trong tools.yaml,Mô tả tham số chi tiết và bổ sung enum email giúp Agent chọn đúng tham số đầu vào,case_accuracy,0.7667,0.8333,runs/v2_B_base_openrouter_20260915T201228727355.json
v3,team,artifacts/system_prompt.md,v3+p7c39c3d03c58+t2a05fb895c80,7c39c3d03c58,2a05fb895c80,Bổ sung quy tắc bảo mật dữ liệu riêng tư và xử lý đổi ý định nhiều lượt,Bổ sung quy tắc an toàn dữ liệu và ưu tiên ý định mới nhất giúp agent đạt độ chính xác tối đa và chống rò rỉ thông tin,case_accuracy,0.8333,0.9333,runs/v3_B_base_openrouter_20260915T201331633538.json
